tanggal,stasiun,curah_hujan,suhu,kelembapan,kecepatan_angin,arah_angin,gelombang_signifikan,arus_laut,arah_arus_laut,latitude,longitude
2024-01-09,Stasiun Meteorologi Perak 1,0.0,28.6,81.0,4.01461,283,0.0,1.09277,74,-7.223150593,112.7240614
2024-01-09,Stasiun Meteorologi Maritim Tanjung Perak,0.0,29.5,78.0,4.10593,284,0.0,1.09277,74,-7.204320905,112.7351022
2024-01-09,Stasiun Meteorologi Trunojoyo,30.2,28.1,87.0,6.0,285,0.01802,3.0,118,-7.03976,113.914
2024-01-09,Stasiun Meteorologi Tuban,0.4,28.1,82.0,5.0,291,0.11404,3.0,90,-6.8229,111.99177
2024-01-09,Stasiun Meteorologi Banyuwangi,,29.7,68.0,3.0,189,0.06881,14.0,102,-8.214848016,114.3553195
2024-01-09,Stasiun Geofisika Pasuruan,0.6,22.9,90.0,2.0,264,0.0,2.0,86,-7.639341409,112.6882624
2024-01-09,Stasiun Meteorologi Dhoho,23.0,30.2,74.0,1.0,179,0.0,11.0,84,-7.75487,111.9469
2024-01-09,Stasiun Klimatologi Jawa Timur,0.0,25.9,81.0,1.0,203,0.0,2.0,86,-7.9008,112.5979
2024-01-09,Stasiun Geofisika Malang,15.0,28.7,78.0,1.0,154,0.0,4.0,77,-8.15,112.45
2024-01-09,Stasiun Geofisika Nganjuk,23.0,23.5,87.0,1.0,170,0.0,4.0,84,-7.73486,111.76682
2024-01-09,Stasiun Meteorologi Sangkapura,0.2,28.7,85.0,9.0,307,0.11326,7.0,97,-5.8511,112.6578
2024-01-10,Stasiun Meteorologi Juanda,26.5,28.7,86.0,0.17172,348,0.0,2.37812,98,-7.37235119,112.7816993
2024-01-10,Stasiun Meteorologi Perak 1,19.8,29.4,77.0,1.39422,329,0.0,1.75073,92,-7.223150593,112.7240614
2024-01-10,Stasiun Meteorologi Maritim Tanjung Perak,14.8,30.1,74.0,1.46309,331,0.0,1.75073,92,-7.204320905,112.7351022
2024-01-10,Stasiun Meteorologi Trunojoyo,25.5,29.9,80.0,3.0,348,0.01078,4.0,125,-7.03976,113.914
2024-01-10,Stasiun Meteorologi Tuban,0.1,28.4,85.0,3.0,304,0.07457,5.0,125,-6.8229,111.99177
2024-01-10,Stasiun Meteorologi Banyuwangi,0.0,30.1,69.0,1.0,184,0.07319,14.0,116,-8.214848016,114.3553195
2024-01-10,Stasiun Geofisika Pasuruan,2.0,21.0,98.0,1.0,175,0.0,2.0,85,-7.639341409,112.6882624
2024-01-10,Stasiun Meteorologi Dhoho,0.1,30.2,71.0,1.0,188,0.0,20.0,94,-7.75487,111.9469
2024-01-10,Stasiun Klimatologi Jawa Timur,2.6,26.4,77.0,1.0,165,0.0,2.0,85,-7.9008,112.5979
2024-01-10,Stasiun Geofisika Malang,0.0,28.3,77.0,2.0,153,0.0,9.0,109,-8.15,112.45
2024-01-10,Stasiun Geofisika Nganjuk,18.0,24.7,89.0,1.0,187,0.0,7.0,117,-7.73486,111.76682
2024-01-10,Stasiun Meteorologi Sangkapura,0.7,29.3,83.0,4.0,271,0.03458,7.0,98,-5.8511,112.6578
2024-01-11,Stasiun Meteorologi Juanda,3.3,28.5,83.0,3.22064,296,0.0,2.18094,74,-7.37235119,112.7816993
2024-01-11,Stasiun Meteorologi Perak 1,0.0,29.8,75.0,4.00164,287,0.0,1.65537,87,-7.223150593,112.7240614
2024-01-11,Stasiun Meteorologi Maritim Tanjung Perak,0.0,30.3,73.0,4.14731,286,0.0,1.65537,87,-7.204320905,112.7351022
2024-01-11,Stasiun Meteorologi Trunojoyo,,29.8,79.0,3.0,280,0.0063,4.0,124,-7.03976,113.914
2024-01-11,Stasiun Meteorologi Tuban,0.0,28.5,82.0,5.0,264,0.02702,6.0,126,-6.8229,111.99177
2024-01-11,Stasiun Meteorologi Banyuwangi,,29.0,74.0,3.0,196,0.08167,6.0,83,-8.214848016,114.3553195
2024-01-11,Stasiun Geofisika Pasuruan,51.8,23.6,90.0,1.0,269,0.0,2.0,92,-7.639341409,112.6882624
2024-01-11,Stasiun Meteorologi Dhoho,114.0,31.4,67.0,1.0,190,0.0,12.0,86,-7.75487,111.9469
2024-01-11,Stasiun Klimatologi Jawa Timur,0.0,27.4,71.0,1.0,183,0.0,2.0,92,-7.9008,112.5979
2024-01-11,Stasiun Geofisika Malang,23.4,29.9,72.0,2.0,191,0.0,5.0,99,-8.15,112.45
2024-01-11,Stasiun Geofisika Nganjuk,28.5,24.3,83.0,1.0,182,0.0,5.0,79,-7.73486,111.76682
2024-01-11,Stasiun Meteorologi Sangkapura,0.4,29.0,83.0,9.0,262,0.0947,7.0,97,-5.8511,112.6578
2024-01-12,Stasiun Meteorologi Juanda,5.1,30.1,71.0,1.08408,306,0.0,3.02493,146,-7.37235119,112.7816993
2024-01-12,Stasiun Meteorologi Perak 1,0.0,30.6,69.0,2.79459,308,0.0,1.25262,114,-7.223150593,112.7240614
2024-01-12,Stasiun Meteorologi Maritim Tanjung Perak,0.0,30.8,69.0,2.99151,309,0.0,1.25262,114,-7.204320905,112.7351022
2024-01-12,Stasiun Meteorologi Trunojoyo,0.0,30.0,78.0,3.0,288,0.02433,3.0,119,-7.03976,113.914
2024-01-12,Stasiun Meteorologi Tuban,7.2,28.9,80.0,2.0,262,0.12992,7.0,125,-6.8229,111.99177
2024-01-12,Stasiun Meteorologi Banyuwangi,,29.2,65.0,3.0,200,0.08746,3.0,145,-8.214848016,114.3553195
2024-01-12,Stasiun Geofisika Pasuruan,0.0,24.0,83.0,2.0,171,4e-05,2.0,108,-7.639341409,112.6882624
2024-01-12,Stasiun Meteorologi Dhoho,0.0,30.8,65.0,2.0,171,0.0,13.0,88,-7.75487,111.9469
2024-01-12,Stasiun Klimatologi Jawa Timur,0.0,25.8,75.0,2.0,170,0.0,2.0,108,-7.9008,112.5979
2024-01-12,Stasiun Geofisika Malang,0.0,28.6,72.0,1.0,221,0.0,5.0,88,-8.15,112.45
2024-01-12,Stasiun Geofisika Nganjuk,19.0,24.9,78.0,2.0,170,0.0,4.0,118,-7.73486,111.76682
2024-01-12,Stasiun Meteorologi Sangkapura,1.0,29.9,79.0,8.0,266,0.27465,9.0,97,-5.8511,112.6578
2024-01-13,Stasiun Meteorologi Juanda,0.0,30.6,70.0,1.79465,135,0.0,1.60231,92,-7.37235119,112.7816993
2024-01-13,Stasiun Meteorologi Perak 1,0.2,31.1,66.0,0.49436,18,0.0,1.25088,92,-7.223150593,112.7240614
2024-01-13,Stasiun Meteorologi Maritim Tanjung Perak,3.0,31.2,67.0,0.55502,11,0.0,1.25088,92,-7.204320905,112.7351022
2024-01-13,Stasiun Meteorologi Trunojoyo,,30.6,76.0,2.0,102,0.01261,3.0,122,-7.03976,113.914
2024-01-13,Stasiun Meteorologi Tuban,13.4,29.0,77.0,4.0,222,0.05094,6.0,129,-6.8229,111.99177
2024-01-13,Stasiun Meteorologi Banyuwangi,,29.6,61.0,4.0,196,0.08478,4.0,161,-8.214848016,114.3553195
2024-01-13,Stasiun Geofisika Pasuruan,,24.7,81.0,3.0,168,0.00015,1.0,71,-7.639341409,112.6882624
2024-01-13,Stasiun Meteorologi Dhoho,0.0,31.0,62.0,2.0,175,0.0,20.0,88,-7.75487,111.9469
2024-01-13,Stasiun Klimatologi Jawa Timur,,26.4,74.0,2.0,172,0.0,1.0,71,-7.9008,112.5979
2024-01-13,Stasiun Geofisika Malang,0.8,29.0,71.0,1.0,211,0.0,9.0,115,-8.15,112.45
2024-01-13,Stasiun Geofisika Nganjuk,,25.3,78.0,1.0,179,0.0,6.0,113,-7.73486,111.76682
2024-01-13,Stasiun Meteorologi Sangkapura,0.0,29.4,80.0,7.0,262,0.19626,9.0,96,-5.8511,112.6578
2024-01-14,Stasiun Meteorologi Juanda,0.0,30.3,71.0,0.80604,329,0.0,2.12295,172,-7.37235119,112.7816993
2024-01-14,Stasiun Meteorologi Perak 1,0.0,30.9,67.0,2.29826,321,0.0,0.44723,153,-7.223150593,112.7240614
2024-01-14,Stasiun Meteorologi Maritim Tanjung Perak,0.1,31.3,65.0,2.42526,319,0.0,0.44723,153,-7.204320905,112.7351022
2024-01-14,Stasiun Meteorologi Trunojoyo,0.0,29.3,83.0,3.0,340,0.01598,3.0,119,-7.03976,113.914
